log_path,model,seq_len,d_block,train,forward,backward,validate,min_loss,test_loss,peak_memory/MB

05-09-0,Torch,128,8,11.26585320000304,3.14841952000279,7.594205379905179,0.784267019998515,0.17570533210581,3.065302925450461,256.2080078125

05-09-1,Base,128,8,15.603164239996113,5.043989139946643,9.962903959938558,1.2577107000048273,0.4342451789162376,12.132391333580017,765.7958984375

05-09-2,LocalHBA,128,8,9.041974819998723,2.821389020001516,5.622415299952263,0.756914079998387,0.3616065705364401,8.079023020608085,276.2783203125

05-09-3,HBA,128,8,11.836352039990015,3.399225180002395,7.483501560002333,0.9136146000004374,0.309427809715271,6.325017358575549,311.822265625

05-09-4,Linformer,128,8,6.776286100002471,2.3561965600179975,3.7844115399813747,0.6284441600029822,1.1246187925338744,29.756175415856497,275.857421875

05-09-0,Linformer,128,8,15.618567320005969,5.041253780020634,9.957086200115736,1.2587878399994223,0.23206229318271984,7.446593003613608,763.78125

05-09-1,Base,128,8,16.288502059999153,5.224279619962909,10.08544823997654,1.3295914199959953,0.40790910585360096,9.966852358409337,765.7958984375

05-09-2,Base,128,8,18.04718401999562,5.643110180099029,10.927817320043687,1.4762233200017363,0.343573659658432,5.829681592328208,765.7958984375

05-09-3,Base,128,8,17.249924719997217,5.413958999875467,10.536864359903849,1.4269618600024843,0.3784878218715841,7.716862951006208,765.7958984375

05-09-4,Linformer,128,8,7.122072159987875,2.4433549598732496,3.8909782999544404,0.6654728999943472,1.0352146603844383,35.269191299165996,275.857421875

05-09-5,Linformer,128,8,9.840094245261954,3.323296534750721,5.065189297902582,0.9339753221058728,0.1636451616883278,3.448897529925619,275.857421875
