log_path,model,seq_len,d_chunk,train,forward,backward,validate,min_loss,peak_memory/MB
04-25-4,Torch,128,8,11.537488420143301,0.00816510425512354,0.01605803553464411,0.25537907116001385,0.1634101892624973,371.9248046875
04-25-4,Torch,256,8,11.438202538201585,0.008372344644481524,0.016196568249466105,0.33893123769149597,0.16607711643532472,1203.2216796875
04-25-4,Torch,512,8,19.96300649859865,0.0132812206633389,0.02899779079404349,0.747158954203284,1.0015309520487516,4337.5654296875
04-25-4,Torch,1024,8,63.25528663499946,0.036097337142564356,0.08075410372943484,2.0239683095798164,1.0110049759878696,16462.2529296875
04-25-5,Base,128,8,13.416460337731728,0.009664817904639576,0.01819734277928041,0.5432905754630661,0.11396864904176204,393.3388671875
04-25-5,Base,256,8,13.374934865674003,0.009700287383101467,0.01893013022038051,0.7993964678439726,0.11292615269862667,1317.7919921875
04-25-5,Base,512,8,31.19010327807303,0.02037860274580199,0.04741027211461779,2.284467390747903,0.10997896184617618,4822.6982421875
04-25-5,Base,1024,8,104.69994333620416,0.0556468565767217,0.13701480709326763,7.366737644376958,0.11178958911484885,18456.5107421875
04-25-6,HBA,128,8,13.906145065256982,0.009872261888200515,0.01926236110433054,0.5648043026908693,0.1369966373120973,148.5400390625
04-25-6,HBA,256,8,13.79428466017866,0.009932538319844753,0.019587515318893235,0.5734700035007502,0.13906506114397887,276.2744140625
04-25-6,HBA,512,8,13.598449990180338,0.009815874792236303,0.019639446967630647,0.6375924390761482,0.14137666598665263,531.7431640625
04-25-6,HBA,1024,8,14.581091046802207,0.007377887359729761,0.017928399360648148,1.1539866140487396,0.14016972059040395,1042.6806640625
04-25-6,HBA,2048,8,24.825064468931508,0.0064595578048128365,0.018426554587033645,2.0675741431286285,0.1350494509313217,2064.6806640625
04-25-6,HBA,4096,8,41.4290750692475,0.019092686389657585,0.04203117991247299,3.5411410174900526,0.14376356461573214,4108.680664062504-25-0,Torch,128,8,12.344001334734882,0.00811276693129912,0.01647560086178904,0.2604136236050787,1.0788115044252589,460.18798828125
04-25-0,Torch,256,8,11.460383093107689,0.008101021725451574,0.016423757846216455,0.34639092052552417,0.9346309726436933,1203.22265625
04-25-0,Torch,512,8,20.098425824408576,0.01357591246875624,0.02898337459579731,0.7808216839291465,0.9659099868446026,4337.56640625
04-25-0,Torch,1024,8,63.21639029909856,0.03637657350336667,0.08067748949397355,2.069127230203594,0.9972115859244634,16462.25390625
04-25-1,Base,128,8,13.535342141762376,0.009601104056928307,0.018310454178135843,0.5421723376563751,0.11106198877437946,2976.10302734375
04-25-1,Base,256,8,13.41335291996249,0.009597560898400843,0.01890173211810179,0.8011503741599154,0.11262789547995285,11038.595703125
04-25-2,HBA,128,8,13.720370663198409,0.009866777717834339,0.018706656994763763,0.5589795972791035,0.1353844513245132,783.57177734375
04-25-2,HBA,256,8,13.520269957652058,0.009831220995442107,0.01888776003134212,0.5665445842374727,0.13994778640982178,1538.783203125
04-25-2,HBA,512,8,13.302076550753554,0.009718344453306469,0.018798158645430312,0.6477002568551272,0.13894880281866723,3005.41552734375
04-25-2,HBA,1024,8,14.367042762392279,0.0072037365591515684,0.017133996828407463,1.1356961903349858,0.14274427562373357,5805.625
04-25-2,HBA,2048,8,24.94353754452197,0.006391679139342159,0.017942374903941526,2.109898331776494,0.1333857439266345,10871.88818359375
04-25-2,HBA,4096,8,41.184725718149274,0.018786189597449265,0.04194710707233753,3.5030911248759367,0.14601795095950365,18842.67919921875
