log_path,model,seq_len,d_chunk,train,forward,backward,validate,min_loss,test_loss,peak_memory/MB

04-26-0,Torch,128,8,6.023637978096245,0.009289361208850037,0.014264252741873686,0.1734232458890596,0.11762723604386503,2.9020133188792636,715.2255859375

04-26-0,Torch,256,8,6.5968490529691435,0.0073957814153497265,0.015381494356915937,0.29997814444808074,0.11870491387391532,2.5230903802094637,2385.5693359375

04-26-0,Torch,512,8,18.325056884837977,0.028301716181366437,0.060853589552737376,0.7061094466750676,0.13016683924591765,3.180424275221648,8654.2568359375

04-26-0,Torch,1024,8,62.144186657199356,0.035969750371326596,0.0804298227495134,1.9724177993814105,0.13524271175265312,3.7429463152702036,32903.8818359375

04-26-1,Base,128,8,6.758020733070444,0.01075085434888024,0.016110276241088285,0.31517828116891905,0.13096581992100587,2.680650461997305,2976.46240234375

04-26-1,Base,256,8,9.549281011711257,0.010863746202878909,0.023480464471504092,0.7342785016609757,0.16269504071937668,3.27839524657638,11038.46484375

04-26-2,HBA,128,8,6.776177623393637,0.01086509325230022,0.016164145989074622,0.3018785578913619,0.14590409269387072,3.0657981804439,783.65869140625

04-26-2,HBA,256,8,6.6371182679481695,0.010575622532934207,0.016634107810236384,0.3435260158630313,0.14868665948786117,3.1846321600454823,1538.65234375

04-26-2,HBA,512,8,7.517900695677915,0.01001023525872161,0.02238083136416819,0.5982585176453376,0.14581423344196015,3.3711788256963096,3005.41552734375

04-26-2,HBA,1024,8,13.280979711059123,0.007308458778648995,0.017175476731231005,1.129592081462033,0.14526890798543507,3.1671480994958143,5805.625

04-26-2,HBA,2048,8,23.81658644722891,0.00645526637788862,0.016502047415124253,2.038577013988979,0.13224943506778503,3.1330088996887206,10871.88818359375
