log_path,model,seq_len,d_block,train,forward,backward,validate,min_loss,test_loss,peak_memory/MB

04-27-0,Torch,128,8,5.776566884769963,1.74419034876001,2.7435115735010744,0.1740028906153897,0.12135546353052963,2.7825070108686174,715.2255859375

04-27-0,Torch,256,8,6.517924714728348,1.8647826472898164,3.8474541913232296,0.29643281687787104,0.1183423825574142,2.584966399051525,2385.5693359375

04-27-0,Torch,512,8,18.397731131455792,5.633432970992375,12.04607629393124,0.7118109938779121,0.1284392625796345,2.9638345153243453,8654.2568359375

04-27-0,Torch,1024,8,62.35026998212561,19.110714342665712,42.47954969150688,1.9699664498253504,0.14175456547393248,3.9100231390732985,32903.8818359375

04-27-1,Base,128,8,6.380323776917066,1.9694631132976308,3.0093522439594382,0.3137106596880282,0.12048020664263856,2.7790312469005585,765.7958984375

04-27-1,Base,256,8,9.540620362374465,2.759968133577301,5.910557191782734,0.7363054817387213,0.12702748413991044,3.039351127765797,2614.7021484375

04-27-2,HBA,128,8,6.301977439487486,1.9537024192445511,2.993749733072972,0.29152044980853264,0.14561458880251105,2.9789284765720367,276.2783203125

04-27-2,HBA,256,8,6.586889919826941,1.9904015920709066,3.0879433635405773,0.34108475340211664,0.14237126445880643,2.985908896834762,531.7470703125

04-27-2,HBA,512,8,7.513146066468145,1.9975124574025516,4.452939821393149,0.5928875251075028,0.14373694325111946,3.2299925839459456,1042.6845703125

04-27-2,HBA,1024,8,13.193064462749147,3.8886812937347064,8.482956645340494,1.120105984834444,0.13827653608929652,3.2401571296728573,2064.8095703125

04-27-2,HBA,2048,8,23.723939611841224,7.1677363755178245,15.645298649432545,2.0296865919340172,0.13192889330034352,3.0460623824596404,4108.3095703125
