log_path,model,seq_len,d_block,train,forward,backward,validate,min_loss,test_loss,peak_memory/MB

05-04-0,Torch,128,8,5.69869312662883,1.8704785554090868,2.624219097713059,0.1754539151097069,0.12424817217344587,2.6704918997628346,715.2255859375

05-04-0,Torch,256,8,6.32346688092098,1.8402522147853713,3.791600242091686,0.2951649351743981,0.1300670383843007,2.51950451179787,2385.5693359375

05-04-0,Torch,512,8,17.98665542463589,5.556338010397407,11.91670627503689,0.6967370703517061,0.12512314179033604,3.0126865395793208,8654.2568359375

05-04-0,Torch,1024,8,61.950488083097234,19.150135478609357,42.25319422289664,1.9726484425063653,0.14692963631107256,2.773687990812155,32903.8818359375

05-04-1,Base,128,8,6.247486955168742,1.9455321598868591,2.9568851249306602,0.3100234869599455,0.15196808888153596,3.066754760486739,765.7958984375

05-04-1,Base,256,8,9.24827729116909,2.7263999501758787,5.835705436404429,0.7262159687192512,0.15627094730734825,3.766772667566935,2614.7021484375

05-04-2,HBA,128,8,6.259355630307897,1.9563768912099904,2.9817712233600426,0.2885493144413511,0.13380347713828086,2.715241715312004,276.2783203125

05-04-2,HBA,256,8,6.229587240916278,1.9222995066283537,2.9853420615362536,0.3378061685312007,0.14991889894008636,3.0919808281792536,531.7470703125

05-04-2,HBA,512,8,7.21927595586327,1.9622862018624563,4.375525092641971,0.5719732070422691,0.2111395053424925,3.851644180439137,1042.6845703125

05-04-2,HBA,1024,8,12.914478499845911,3.873506355518475,8.410320042073726,1.1015460145970186,0.6274704583562337,10.330609486653255,2064.8095703125

05-04-2,HBA,2048,8,23.500319157170857,7.255649693206781,15.557225964135593,2.031413856932583,1.5369655550742636,27.707079696655274,4108.3095703125

05-04-3,FullHBA,128,8,9.781578557113082,2.786583594369909,4.9832858391132,0.5267027065942615,0.12496663789180192,2.7614909963948384,309.6953125

05-04-3,FullHBA,256,8,9.89346677903086,2.5530897721218935,5.377363302563026,0.520449052877666,0.13777732752539493,2.9151692081380776,608.66455078125

05-04-3,FullHBA,512,8,11.38594522756403,2.514401123727388,7.292426431875514,0.7330718787042829,0.1345726598827344,3.0382297701305814,1259.15087890625

05-04-3,FullHBA,1024,8,17.262983751675346,4.939755128102843,11.272222488297848,1.3836211386253126,0.17870263698009345,3.6461792588233948,2769.99462890625

05-04-3,FullHBA,2048,8,31.911581399657734,9.866234583212645,20.97293712780447,2.700437319203047,0.2082737199962139,4.026965084075928,6619.30712890625
