log_path,model,seq_len,d_block,train,forward,backward,validate,min_loss,test_loss,peak_memory/MB
,,,,,,,,,,
05-10-0,Torch,64,8,5.741072396,1.775902658,2.715783779,0.146849369,0.128937792,2.876040603,257.7548828
,,,,,,,,,,
05-10-0,Torch,128,8,5.743581201,1.774205736,2.703898505,0.170611106,0.123119016,2.646650293,715.2255859
,,,,,,,,,,
05-10-0,Torch,192,8,5.728387066,1.665380503,2.857290889,0.227940517,0.118944142,2.774930248,1432.397461
,,,,,,,,,,
05-10-0,Torch,256,8,6.496698288,1.892291051,3.824865819,0.303465067,0.123632218,2.729445908,2385.569336
,,,,,,,,,,
05-10-0,Torch,320,8,9.340583044,2.73009066,5.96637001,0.390056255,0.124593534,3.06098534,3591.741211
,,,,,,,,,,
05-10-0,Torch,384,8,11.51381649,3.492993649,7.418765253,0.48153136,0.122630315,3.008741529,5037.288086
,,,,,,,,,,
05-10-0,Torch,448,8,15.43447189,4.682082559,10.13213629,0.607173822,0.134238731,2.912035143,6722.709961
,,,,,,,,,,
05-10-0,Torch,512,8,18.2028143,5.60945024,11.97241713,0.705010032,0.135185981,2.935048863,8654.256836
,,,,,,,,,,
05-10-0,Torch,1024,8,62.26369614,19.22457192,42.33036424,1.990555622,0.142091356,3.213408452,32903.75684
