log_path,model,seq_len,d_block,d_ffn,train,forward,backward,validate,min_loss,test_loss,peak_memory/MB
05-17-1,LocalHBA,64,8,128,1281.7648,0.541773684,0.804790787,0.145460155,0.153283429,2.882714229,61.07714844
,,,,,,,,,,,
05-17-1,LocalHBA,64,8,256,2561.727223,0.543401264,0.765450845,0.146337612,0.136828996,3.023964141,81.47363281
,,,,,,,,,,,
05-17-1,LocalHBA,128,8,64,641.9729243,0.543860083,0.999569969,0.163467149,0.160137542,2.968521416,84.66796875
,,,,,,,,,,,
05-17-1,LocalHBA,128,8,128,1282.146124,0.563134128,1.151097,0.170077896,0.151346681,2.953766555,104.7490234
,,,,,,,,,,,
05-17-1,LocalHBA,128,8,256,2562.325016,0.684983952,1.204286133,0.194354228,0.147458238,2.966357129,145.1455078
,,,,,,,,,,,
05-17-1,LocalHBA,256,8,64,643.1944488,1.031684284,1.729284712,0.299201505,0.202691858,3.405557288,152.1367188
,,,,,,,,,,,
05-17-1,LocalHBA,256,8,128,1283.479576,1.121544668,1.918706237,0.316764763,0.171594379,3.168243881,192.0927734
,,,,,,,,,,,
05-17-1,LocalHBA,256,8,256,2564.013297,1.372865809,2.215183043,0.371189508,0.157643772,3.112654077,272.4892578
,,,,,,,,,,,
05-17-1,LocalHBA,512,8,64,646.1343376,2.168559714,3.526291152,0.593377005,0.503837315,9.209543846,287.0742188
,,,,,,,,,,,
05-17-1,LocalHBA,512,8,128,1286.617049,2.328898936,3.847133947,0.624198223,0.503858015,8.314834047,366.7802734
,,,,,,,,,,,
05-17-1,LocalHBA,512,8,256,2567.622946,2.713481034,4.468073002,0.704775058,0.550440139,7.634676854,527.1767578
,,,,,,,,,,,
05-17-1,LocalHBA,1024,8,64,6411.361414,4.157851973,6.743751211,1.1050916,0.517951963,9.01743379,556.9492188
,,,,,,,,,,,
05-17-1,LocalHBA,1024,8,128,12812.25886,4.453634855,7.345305095,1.160523999,0.565212704,10.89459274,716.1552734
,,,,,,,,,,,
05-17-1,LocalHBA,1024,8,256,25614.31157,5.295885031,8.556539081,1.334737418,0.65758434,10.22147791,1036.551758
,,,,,,,,,,,
05-17-1,LocalHBA,2048,8,64,6420.700802,7.681398018,12.53249957,2.025227972,1.276352025,42.80783466,1096.949219
,,,,,,,,,,,
05-17-1,LocalHBA,2048,8,128,12822.38069,8.227698038,13.66745941,2.132883601,1.238804269,47.39279915,1415.155273
,,,,,,,,,,,
05-17-1,LocalHBA,2048,8,256,25626.1163,9.650975671,15.98040928,2.427883982,1.216022344,51.93610294,2055.551758
,,,,,,,,,,,
05-17-1,LocalHBA,4096,8,64,6435.461135,13.23302785,21.71489626,3.475259943,1.269390904,92.66282254,2176.199219
,,,,,,,,,,,
05-17-1,LocalHBA,4096,8,128,12838.34296,14.01795407,23.81290382,3.650874875,1.148474983,74.32920874,2810.405273
,,,,,,,,,,,
05-17-2,HBA,64,8,64,643.3136186,1.083831962,1.518127786,0.260554634,0.138804328,3.139767928,56.80712891
,,,,,,,,,,,
05-17-2,HBA,64,8,128,1283.436389,1.113106785,1.610338492,0.270118173,0.143323402,3.346777162,67.30712891
,,,,,,,,,,,
05-17-2,HBA,64,8,256,2563.293657,1.108370718,1.478223841,0.270473398,0.150137341,3.099617021,88.31884766
,,,,,,,,,,,
05-17-2,HBA,128,8,64,643.552464,1.114849088,1.7155685,0.269826171,0.150175396,2.925629394,96.04931641
,,,,,,,,,,,
05-17-2,HBA,128,8,128,1283.530058,1.097273946,1.723115047,0.269293952,0.150884892,2.982414944,116.6743164
,,,,,,,,,,,
05-17-2,HBA,128,8,256,2563.670742,1.099989163,1.859087569,0.269131437,0.137220949,3.0140409,157.9697266
,,,,,,,,,,,
05-17-2,HBA,256,8,64,644.4228008,1.2444278,2.469534865,0.36683365,0.16212568,3.234583047,178.4794922
,,,,,,,,,,,
05-17-2,HBA,256,8,128,1284.799827,1.337753747,2.754356661,0.387294336,0.135751985,3.435323053,218.8017578
,,,,,,,,,,,
05-17-2,HBA,256,8,256,2565.390968,1.628470449,3.055212141,0.4484497,0.150058449,3.081906844,301.5791016
,,,,,,,,,,,
05-17-2,HBA,512,8,64,647.925189,2.683639043,4.522482861,0.736291431,0.182592951,3.605656906,364.7451172
,,,,,,,,,,,
05-17-2,HBA,512,8,128,1288.422673,2.870961248,4.834695385,0.770545472,0.150633461,3.299200014,443.8857422
,,,,,,,,,,,
05-17-2,HBA,512,8,256,2569.581367,3.348441613,5.514600115,0.86368837,0.143094322,3.344634105,602.3608398
,,,,,,,,,,,
05-17-2,HBA,1024,8,64,6415.497851,5.48631223,9.285010305,1.452084957,0.178045348,3.756825805,813.7763672
,,,,,,,,,,,
05-17-2,HBA,1024,8,128,12816.513,5.832786295,9.952996914,1.514582652,0.178192131,4.972883633,971.6669922
,,,,,,,,,,,
05-17-2,HBA,1024,8,256,25618.80622,6.766056736,11.30869731,1.710935411,0.1721425,4.543684593,1287.460449
,,,,,,,,,,,
05-17-2,HBA,2048,8,64,6432.390616,11.28110133,20.3713074,2.972251266,0.178234698,4.055919738,2018.088867
,,,,,,,,,,,
05-17-2,HBA,2048,8,128,12834.11997,11.82339485,21.55309824,3.086231377,0.266912511,4.113117027,2333.479492
,,,,,,,,,,,
05-17-2,HBA,2048,8,256,25638.31702,13.53487847,24.04358055,3.415001624,0.210913404,4.854105802,2964.272949
,,,,,,,,,,,
