model,seq_len,d_chunk,train,forward,criterion,backward,optimizer,test,min_loss,peak_memory/MB,fake_loss
Origin,256,8,48.3939743,17.66069412,0.262466192,28.70524096,0.984420538,2.515375376,15.72379577,1182.480469,
Chunk,256,8,24.41317511,7.741346598,0.302380562,14.67467713,1.083370209,1.312187433,15.87434643,343.8652344,
Chunk,256,32,23.80040336,8.452644825,0.319737673,13.20877314,1.208049774,1.406051874,16.28278076,415.8652344,
Chunk,256,16,23.3094058,7.780620098,0.367049456,13.55801988,1.080076456,1.282690048,15.89634616,367.8652344,
Chunk,256,32,23.24086189,8.275510311,0.247003794,13.0355432,1.099208355,1.339837313,16.3058062,415.8652344,
Chunk,256,64,24.62000751,9.010717154,0.317495108,13.79174805,0.955742121,1.39037776,15.71036698,516.8027344,
Chunk,256,256,48.25201845,17.76556754,0.280496359,28.39097977,1.16767168,2.507971287,15.23057712,1182.480469,
Chunk,256,8,7.973567661,2.122048926,0.137096262,4.512019404,0.899595976,0.368367712,2.688030653,343.8652344,
Chunk,512,8,14.12048179,4.034597532,0.170122623,8.59967862,0.94803439,0.692350634,2.743811328,667.7402344,
Chunk,256,8,7.722855926,2.07538116,0.117771721,4.447982121,0.805392194,0.359007311,3.080358455,343.8652344,
Chunk,512,16,13.28677003,4.26976788,0.146733165,7.673083258,0.861372209,0.714112949,3.174595903,715.7402344,
Torch,256,-1,9.717860317,2.853563571,0.111101747,5.788071561,0.690051198,0.478989625,4.290707994,346.8564453,
Torch,512,-1,26.88839521,7.504366875,0.142036819,18.10754535,0.765153742,1.260795975,4.289193057,673.7314453,
Torch,768,-1,51.48285234,14.07038639,0.140828896,36.09389994,0.736616325,2.375282717,4.303572925,1000.606445,
Torch,1024,-1,84.45563381,24.14341946,0.147688031,58.95037279,0.737733698,3.924430418,4.255814986,1327.481445,
Chunk,256,8,7.607506847,2.049810052,0.102045417,4.470544696,0.728814244,0.356662846,3.382236992,343.8652344,
Chunk,512,16,13.172751,4.27121563,0.123455048,7.671081495,0.790536928,0.707034683,3.10028962,715.7402344,
Chunk,768,12,19.87051041,6.297734118,0.116307163,12.3634887,0.752903247,1.031996655,3.092066768,1032.615234,
Chunk,1024,16,23.81979947,8.231549716,0.091401386,14.48968918,0.654028654,1.335093403,3.021470257,1411.490234,
Torch,256,-1,9.57715532,2.867475295,0.067127609,5.895869128,0.520509577,0.485663692,3.522187236,346.8564453,
Torch,512,-1,26.37105986,7.434218693,0.080243055,18.00125563,0.559829434,1.240983144,3.642265064,673.7314453,
Torch,768,-1,51.21283536,14.05904658,0.094437917,36.08427447,0.599422312,2.360055168,3.494600017,1000.606445,
Torch,1024,-1,84.45764642,24.16105386,0.150733836,58.95905646,0.721081456,3.927440596,4.070866339,1327.481445,
new,,,,,,,,,,,
Torch,256,-1,9.842057165,2.900676306,0.103190056,5.910185615,0.668054549,0.489138389,3.607111366,347.6064453,
Torch,512,-1,27.65050723,7.495753098,0.127006586,18.20532591,0.730259625,1.25815285,3.408952439,674.4814453,
Torch,768,-1,53.88252323,14.48418794,0.146449804,36.10546063,0.738498298,2.448224417,3.851451761,1001.356445,
Torch,1024,-1,84.51253618,24.07076547,0.147185596,59.10784841,0.723445988,3.925575598,3.821605041,1328.231445,
Torch,1280,-1,124.2885329,36.6280703,0.150825874,86.30639738,0.71694332,5.797890178,3.964989705,1665.793945,
Torch,1536,-1,170.8343681,51.26855876,0.154944094,118.1900995,0.713209939,7.855994423,3.852795721,1989.231445,
Torch,1792,-1,226.5482499,69.54845359,0.152894394,155.6238991,0.70374101,10.47398011,3.920922368,2312.668945,
Torch,2048,-1,286.600387,87.35524875,0.154984291,197.8450363,0.698164646,13.11016048,3.925158692,2636.106445,
Torch,2304,-1,352.0508222,106.3664409,0.156171338,244.2502988,0.69800516,16.12625981,3.767921666,2963.543945,
,,,,,,,,,,,
4.12,,,,,,,,,,,
Base,256,-1,15.45398027,5.536161629,0.074244801,8.914114428,0.709637753,0.810241151,3.276011067,1183.230469,
Base,512,-1,49.13280257,17.86455559,0.086225979,30.15531211,0.720972029,2.511510563,3.820187791,4297.574219,
,,,,,,,,,,,
Base,128,-1,5.595391703,1.831273465,0.076012645,2.887641749,0.636725187,0.424220924,2.894341764,373.6464844,2.128567
Base,256,-1,14.50538836,5.178312397,0.069488015,8.410650287,0.647193828,1.079553447,3.259853612,1183.230469,2.073233
Base,512,-1,46.28303231,16.86702412,0.079375925,28.38015634,0.671572886,3.357989893,3.10064988,4297.574219,2.163567
Base,1024,-1,160.9209309,57.77429752,0.110431156,101.881281,0.775126762,11.33384875,3.476658649,16382.26172,2.315733
HBA_8,128,8,4.88762815,1.639615107,0.071155157,2.375884881,0.639052048,0.41594017,2.857512626,182.6777344,2.2817
HBA_8,256,8,7.04833055,1.933333354,0.076723099,4.210736661,0.644314957,0.474713211,2.750201953,344.6152344,2.27
HBA_8,512,8,12.80372642,3.785904117,0.068958702,8.082162499,0.646957464,0.894896479,2.820847213,668.4902344,2.338767
HBA_8,1024,8,23.89940589,7.400948014,0.072338853,15.50197196,0.639572597,1.719320846,2.793991449,1316.240234,2.3197
HBA_8,2048,8,43.45750423,13.44402067,0.078984551,28.90498898,0.639150558,3.101172495,2.897924879,2612.240234,0
HBA_8,3072,8,60.16696301,18.79182225,0.081627502,40.21544785,0.623672113,4.333599758,2.898852028,3907.990234,2.046852
HBA_8,4096,8,73.89396068,23.01572273,0.081442094,49.69778191,0.600057759,5.309160447,2.970472069,5202.740234,0
Torch,128,-1,4.306335173,1.349023271,0.061015935,2.222072573,0.515678759,0.353441682,2.63266918,197.0439453,1.936127
